MAP:EDAH Base
AIRPORT:EDAH
FOLDER:Airport Layout
ACTIVE:1
COLOR:Base

N053.52.26.643 E014.09.55.900
N053.52.27.380 E014.09.56.304
N053.52.28.041 E014.09.57.872
N053.52.27.452 E014.10.02.014
N053.52.38.354 E014.10.08.507
N053.52.39.208 E014.10.04.496
N053.52.40.257 E014.10.03.178
N053.52.47.214 E014.09.20.783
N053.52.48.382 E014.09.13.315
N053.52.48.113 E014.09.12.618
N053.52.56.780 E014.08.19.768
N053.52.58.574 E014.08.08.857
N053.52.59.005 E014.08.06.213
N053.52.59.141 E014.08.03.576
N053.52.59.480 E014.07.56.690
N053.52.59.788 E014.07.50.261
N053.52.58.486 E014.07.48.419
N053.52.57.871 E014.07.47.570
N053.52.57.279 E014.07.46.804
N053.52.56.736 E014.07.46.130
N053.52.55.927 E014.07.45.261
N053.52.54.844 E014.07.44.546
N053.52.53.742 E014.07.44.364
N053.52.53.032 E014.07.44.233
N053.52.52.728 E014.07.44.043
N053.52.51.606 E014.07.44.017
N053.52.49.998 E014.07.43.987
N053.52.49.476 E014.07.44.140
N053.52.49.119 E014.07.44.320
N053.52.48.869 E014.07.44.479
N053.52.48.615 E014.07.44.758
N053.52.48.082 E014.07.45.376
N053.52.47.593 E014.07.46.455
N053.52.47.485 E014.07.46.724
N053.52.47.195 E014.07.48.065
N053.52.46.963 E014.07.49.529
N053.52.45.947 E014.07.56.190
N053.52.44.200 E014.08.06.326
N053.52.43.391 E014.08.11.296
N053.52.42.331 E014.08.16.322
N053.52.41.051 E014.08.21.546
N053.52.38.506 E014.08.32.046
N053.52.36.788 E014.08.39.569
N053.52.36.571 E014.08.44.049
N053.52.35.184 E014.08.52.102
N053.52.34.881 E014.08.57.131
N053.52.35.858 E014.08.57.360
N053.52.35.365 E014.09.03.002
N053.52.32.760 E014.09.02.569
N053.52.32.593 E014.09.07.590
N053.52.32.571 E014.09.07.946
N053.52.30.459 E014.09.07.683
N053.52.28.319 E014.09.23.875
N053.52.26.996 E014.09.33.904
N053.52.26.903 E014.09.34.574
N053.52.26.746 E014.09.37.592
N053.52.26.099 E014.09.51.327
N053.52.25.902 E014.09.55.476
N053.52.26.643 E014.09.55.900
