MAP:Taxiway Movement Areas
AIRPORT:EDAH
FOLDER:Airport Layout
ACTIVE:1
COLOR:taxiway

N053.52.42.086 E014.08.28.809
N053.52.39.950 E014.08.34.934
N053.52.40.910 E014.08.35.863
N053.52.40.055 E014.08.38.397
N053.52.39.204 E014.08.38.306
N053.52.39.057 E014.08.37.717
N053.52.39.161 E014.08.35.024
N053.52.38.707 E014.08.34.958
N053.52.38.658 E014.08.35.742
N053.52.38.397 E014.08.40.808
N053.52.38.221 E014.08.41.093
N053.52.37.142 E014.08.40.988
N053.52.37.007 E014.08.43.534
N053.52.38.169 E014.08.43.800
N053.52.38.811 E014.08.43.967
N053.52.38.987 E014.08.43.956
N053.52.39.128 E014.08.44.112
N053.52.39.248 E014.08.44.375
N053.52.39.329 E014.08.44.800
N053.52.39.204 E014.08.47.309
N053.52.39.164 E014.08.48.026
N053.52.39.140 E014.08.48.177
N053.52.39.008 E014.08.48.432
N053.52.38.810 E014.08.48.622
N053.52.38.164 E014.08.48.510
N053.52.38.011 E014.08.51.214
N053.52.38.278 E014.08.51.276
N053.52.38.438 E014.08.51.275
N053.52.38.543 E014.08.51.326
N053.52.38.617 E014.08.51.369
N053.52.38.719 E014.08.51.420
N053.52.38.811 E014.08.51.558
N053.52.38.913 E014.08.51.739
N053.52.38.965 E014.08.52.021
N053.52.38.684 E014.08.57.052
N053.52.38.856 E014.08.57.057
N053.52.38.988 E014.08.57.065
N053.52.39.075 E014.08.57.120
N053.52.39.181 E014.08.57.212
N053.52.39.272 E014.08.57.302
N053.52.39.381 E014.08.57.491
N053.52.39.484 E014.08.57.800
N053.52.39.563 E014.08.58.076
N053.52.40.183 E014.08.58.141
N053.52.41.242 E014.08.58.234
N053.52.42.196 E014.08.40.117
N053.52.42.351 E014.08.36.363
N053.52.44.066 E014.08.31.283
N053.52.45.008 E014.08.28.475
N053.52.44.147 E014.08.27.698
N053.52.44.292 E014.08.27.193
N053.52.42.939 E014.08.25.922
N053.52.42.086 E014.08.28.809

COLOR:taxiway
N053.52.33.911 E014.10.02.400
N053.52.33.353 E014.10.03.212
N053.52.32.576 E014.10.03.055
N053.52.31.648 E014.10.01.758
N053.52.30.198 E014.09.59.670
N053.52.29.694 E014.09.58.963
N053.52.29.440 E014.09.58.505
N053.52.29.218 E014.09.57.894
N053.52.28.960 E014.09.57.182
N053.52.28.774 E014.09.56.602
N053.52.28.717 E014.09.56.370
N053.52.28.704 E014.09.56.034
N053.52.28.734 E014.09.55.708
N053.52.28.779 E014.09.55.327
N053.52.28.851 E014.09.54.961
N053.52.29.087 E014.09.53.841
N053.52.31.488 E014.09.42.862
N053.52.35.394 E014.09.27.238
N053.52.37.817 E014.09.17.143
N053.52.38.007 E014.09.16.355
N053.52.38.208 E014.09.15.504
N053.52.38.383 E014.09.14.651
N053.52.38.910 E014.09.11.829
N053.52.39.422 E014.09.09.087
N053.52.39.723 E014.09.08.885
N053.52.39.944 E014.09.08.981
